id;title;content;notes;num
1;concurrence même;de peur que;au-dedans de conférer;23034
2;badaboum protester;autrement formuler tant que;sous couleur de;27119
3;téméraire expliquer efficace;presque à moins de;si gestionnaire commissionnaire;15567
4;presque tandis que lunatique;approximativement tant que;rejoindre groin groin;117
5;féliciter administration;groin groin;vétuste;18229
6;pis tic-tac;gigantesque miam;creuser garantir;26263
7;enfiler quand;hé sans que dessous;parlementaire;25173
8;tant;dynamique ding;comme malade;12880
9;essayer guide sauvage;du fait que séparer;d’autant que perfectionner du moment que;18041
10;antagoniste hors de;au-dessus;recta;10789
