id;type;uri;uml_code
1;LINK;délégation voyager;souvent jusqu’à ce que camarade
2;IMAGE;de façon à ce que;direction quant à patientèle
3;PLANTUML;mince blême au point que;bon
4;LINK;incalculable en bas de;toc-toc drelin efficace
5;PLANTUML;badaboum lorsque voter;à seule fin de alentour
6;PLANTUML;rigoler pin-pon;derechef de peur de
7;PLANTUML;pschitt ha ajouter;parlementaire
8;LINK;par suite de étonner à raison de;jouir gai
9;QRCODE;moyennant à partir de;adversaire gens incalculable
10;LINK;à la faveur de bavarder;mairie cyan
