id;plan;uri;prompt_user_message
1;triathlète à partir de;arrière;glouglou intéresser
2;toujours clocher;dense avare;direction du côté de
3;tellement de peur de;impromptu de crainte que étant donné que;à condition que ah fonctionnaire
4;quoique cuicui jusqu’à ce que;si bien que tchou tchouu parlementaire;biathlète parfois apparemment
5;sus après que de façon que;pourvu que apprivoiser;totalement tsoin-tsoin
6;coac coac trop drelin;excéder prêter en dedans de;essayer rectorat pour que
7;hôte;accélérer frayer;du fait que vite
8;assez dring ouch;foule;pénétrer à travers
9;avant de splendide;quoique glouglou tard;tant
10;à l'exception de triste;de crainte que croâ;derrière réduire
