id;name;description;prompt_system_message
1;quant à commissionnaire si;jusqu’à ce que;horrible
2;plutôt;sans doute;placide touchant
3;drelin toc-toc;considérable jusqu’à ce que déjeuner;sans que
4;membre à vie;à cause de devant interrompre;coupable reconnaître
5;après juriste;après que adepte;tant tant
6;mal détecter;dès que calme;vendre plus
7;subito tandis que;malade;vouloir
8;sans adorable;pourvu que à travers sans que;vide
9;de peur de;oups blablabla;au-delà sédentaire
10;vraisemblablement efficace;vraiment membre du personnel avant;touriste
